Number of Reads,137582581
Reads With Valid Barcodes,1
Sequencing Saturation,0.643711
Q30 Bases in CB+UMI,-nan
Q30 Bases in RNA read,0.940886
Reads Mapped to Genome: Unique+Multiple,0.852994
Reads Mapped to Genome: Unique,0.729604
Reads Mapped to Gene: Unique+Multipe Gene,0.076119
Reads Mapped to Gene: Unique Gene,0.0258187
Estimated Number of Cells,4632
Unique Reads in Cells Mapped to Gene,3041312
Fraction of Unique Reads in Cells,0.856178
Mean Reads per Cell,656
Median Reads per Cell,525
UMIs in Cells,1076856
Mean UMI per Cell,232
Median UMI per Cell,186
Mean Gene per Cell,127
Median Gene per Cell,112
Total Gene Detected,14662
