TRNP	TRNP	Gene Expression
TRNT	TRNT	Gene Expression
CYTB	CYTB	Gene Expression
TRNE	TRNE	Gene Expression
ND6	ND6	Gene Expression
ND5	ND5	Gene Expression
TRNL2	TRNL2	Gene Expression
TRNS2	TRNS2	Gene Expression
TRNH	TRNH	Gene Expression
ND4	ND4	Gene Expression
ND4L	ND4L	Gene Expression
TRNR	TRNR	Gene Expression
ND3	ND3	Gene Expression
TRNG	TRNG	Gene Expression
COX3	COX3	Gene Expression
ATP6	ATP6	Gene Expression
ATP8	ATP8	Gene Expression
TRNK	TRNK	Gene Expression
COX2	COX2	Gene Expression
TRND	TRND	Gene Expression
TRNS1	TRNS1	Gene Expression
COX1	COX1	Gene Expression
TRNY	TRNY	Gene Expression
TRNC	TRNC	Gene Expression
TRNN	TRNN	Gene Expression
TRNA	TRNA	Gene Expression
TRNW	TRNW	Gene Expression
ND2	ND2	Gene Expression
TRNM	TRNM	Gene Expression
TRNQ	TRNQ	Gene Expression
TRNI	TRNI	Gene Expression
ND1	ND1	Gene Expression
TRNL1	TRNL1	Gene Expression
RNR2	RNR2	Gene Expression
TRNV	TRNV	Gene Expression
RNR1	RNR1	Gene Expression
TRNF	TRNF	Gene Expression
LILRP2	LILRP2	Gene Expression
KIR3DL3	KIR3DL3	Gene Expression
KIR2DS2	KIR2DS2	Gene Expression
KIR2DL2	KIR2DL2	Gene Expression
KIR2DL4	KIR2DL4	Gene Expression
KIR3DS1	KIR3DS1	Gene Expression
KIR2DL5A	KIR2DL5A	Gene Expression
KIR2DS5	KIR2DS5	Gene Expression
KIR2DS1	KIR2DS1	Gene Expression
KIR3DL2	KIR3DL2	Gene Expression
KIR2DL3	KIR2DL3	Gene Expression
KIR2DP1	KIR2DP1	Gene Expression
LOC101928804	LOC101928804	Gene Expression
KIR2DL1	KIR2DL1	Gene Expression
KIR3DP1	KIR3DP1	Gene Expression
KIR3DL1	KIR3DL1	Gene Expression
KIR2DS4	KIR2DS4	Gene Expression
KIR2DL5B	KIR2DL5B	Gene Expression
RNU6-222P	RNU6-222P	Gene Expression
NCR1	NCR1	Gene Expression
FCAR	FCAR	Gene Expression
LOC102725023	LOC102725023	Gene Expression
KIR2DS3	KIR2DS3	Gene Expression
EPS8L1	EPS8L1	Gene Expression
RDH13	RDH13	Gene Expression
GP6	GP6	Gene Expression
GP6-AS1	GP6-AS1	Gene Expression
RPL36AP50	RPL36AP50	Gene Expression
NLRP2	NLRP2	Gene Expression
NLRP7	NLRP7	Gene Expression
LILRP1	LILRP1	Gene Expression
LOC102724290	LOC102724290	Gene Expression
LILRB4	LILRB4	Gene Expression
VN1R105P	VN1R105P	Gene Expression
MIR8061	MIR8061	Gene Expression
LILRB1	LILRB1	Gene Expression
LILRA1	LILRA1	Gene Expression
LILRA2	LILRA2	Gene Expression
LOC105372461	LOC105372461	Gene Expression
LOC107985347	LOC107985347	Gene Expression
KIR3DX1	KIR3DX1	Gene Expression
LOC105372460	LOC105372460	Gene Expression
LAIR2	LAIR2	Gene Expression
CDC42EP5	CDC42EP5	Gene Expression
LENG9	LENG9	Gene Expression
LENG8	LENG8	Gene Expression
LENG8-AS1	LENG8-AS1	Gene Expression
TTYH1	TTYH1	Gene Expression
