Number of Reads,138136950
Reads With Valid Barcodes,1
Sequencing Saturation,0.643744
Q30 Bases in CB+UMI,-nan
Q30 Bases in RNA read,0.940398
Reads Mapped to Genome: Unique+Multiple,0.85274
Reads Mapped to Genome: Unique,0.729369
Reads Mapped to Gene: Unique+Multipe Gene,0.0760885
Reads Mapped to Gene: Unique Gene,0.0258082
Estimated Number of Cells,4638
Unique Reads in Cells Mapped to Gene,3053375
Fraction of Unique Reads in Cells,0.856472
Mean Reads per Cell,658
Median Reads per Cell,527
UMIs in Cells,1080803
Mean UMI per Cell,233
Median UMI per Cell,187
Mean Gene per Cell,127
Median Gene per Cell,112
Total Gene Detected,14695
