Number of Reads,135162095
Reads With Valid Barcodes,1
Sequencing Saturation,0.641452
Q30 Bases in CB+UMI,-nan
Q30 Bases in RNA read,0.94326
Reads Mapped to Genome: Unique+Multiple,0.853072
Reads Mapped to Genome: Unique,0.729967
Reads Mapped to Gene: Unique+Multipe Gene,0.0759329
Reads Mapped to Gene: Unique Gene,0.025821
Estimated Number of Cells,4626
Unique Reads in Cells Mapped to Gene,2988451
Fraction of Unique Reads in Cells,0.856286
Mean Reads per Cell,646
Median Reads per Cell,516
UMIs in Cells,1064884
Mean UMI per Cell,230
Median UMI per Cell,184
Mean Gene per Cell,126
Median Gene per Cell,111
Total Gene Detected,14597
